,session,scan_idx,unit_id,pt_root_id,n_pre,n_post,pt_x,pt_y,pt_z,horizontal_dist,Vertical_dist,soma_dist,pref_ori,pref_dir,gOSI,gDSI,cc_abs,cc_max,cc_norm,OSI,DSI,readout_loc_x,readout_loc_y,pt_position,manual_proof_by_pat,classification_system,cell_type
49,9,3,1828,864691135569902316,1,5,1006.336,604.288,965.76,23.323198408451617,126.144,128.28203428383884,177.68338012695312,177.68338012695312,0.22567300498485565,0.18299800157546997,0.23304800689220428,0.5579730272293091,0.4176689684391022,0.429789274930954,0.4422782063484192,-0.05116474628448486,-0.06999534368515015,"[251584, 151072, 24144]",False,excitatory_neuron,L4b
50,9,3,1842,864691135742189163,1,0,927.936,607.296,709.0,247.43754036928186,123.136,276.3834489979456,170.84512329101562,170.84512329101562,0.22363799810409546,0.04688189923763275,0.6258299946784973,0.5899749994277954,1.0607737302780151,0.4269092082977295,0.09599350392818451,-0.05926823616027832,-0.07788127660751343,"[231984, 151824, 17725]",False,excitatory_neuron,L4b
51,9,3,4494,864691135858011950,1,0,1176.384,584.448,675.8,314.7770165942869,145.984,346.98112114638167,108.49471,108.49471,0.030103,0.0827288,0.239796,0.562116,0.4265952,0.13157037,0.3773451,0.04867649,-0.09020668,"[294096, 146112, 16895]",True,excitatory_neuron,L4a
52,9,3,4753,864691136101516661,1,2,925.504,623.232,946.44,83.99000664364779,107.2,136.18429137018703,84.95631408691406,264.956298828125,0.20761600136756897,0.13697700202465057,0.26762598752975464,0.0905136987566948,2.9567458629608154,0.385891854763031,0.36145642399787903,0.0009884834289550781,0.05035889148712158,"[231376, 155808, 23661]",False,excitatory_neuron,L4b
53,9,3,4759,864691135394864117,1,0,962.112,616.128,1030.8,100.04547573978546,114.304,151.90293490252253,97.07666,277.07666,0.110564,0.0869764,0.222681,0.589122,0.37798792,0.21685068,0.20426443,-0.09619671,0.018122911,"[240528, 154032, 25770]",True,excitatory_neuron,L4b
54,9,3,4806,864691135750649129,1,0,857.984,620.096,855.96,174.47822264110786,110.336,206.4380853234209,76.3775634765625,76.3775634765625,0.22056899964809418,0.06892310082912445,0.10005299746990204,0.3480510115623474,0.28746649622917175,0.42226213216781616,0.060103435069322586,-0.11429142951965332,-0.08391672372817993,"[214496, 155024, 21399]",False,excitatory_neuron,L4b
55,9,3,7759,864691136033332155,1,0,786.048,644.544,901.56,227.1062658756909,85.888,242.8044574220169,2.260739326477051,182.2607421875,0.18837599456310272,0.18833200633525848,0.116457000374794,0.2922540009021759,0.3984787166118622,0.36535143852233887,0.4629741907119751,-0.114987313747406,-0.07615607976913452,"[196512, 161136, 22539]",False,excitatory_neuron,L4a
56,9,3,8114,864691135988742147,3,1,954.496,632.192,871.4,89.94701409163062,98.24,133.19745847425168,8.616559982299805,188.61656188964844,0.3008959889411926,0.022256599739193916,0.45146799087524414,0.3911319971084595,1.1542599201202393,0.5323684215545654,0.03993607684969902,-0.03864622116088867,0.0532526969909668,"[238624, 158048, 21785]",False,excitatory_neuron,L4b
57,9,3,8262,864691135874901134,1,0,731.712,659.648,829.08,300.0182361390721,70.784,308.2552784170938,56.88433837890625,56.88433837890625,0.039391301572322845,0.06999610364437103,0.2031860053539276,0.5231019854545593,0.38842520117759705,0.06366230547428131,0.22310872375965118,-0.09314513206481934,-0.1411765217781067,"[182928, 164912, 20727]",False,excitatory_neuron,L4b
58,9,3,8486,864691135954793224,1,0,1117.504,623.168,907.48,113.67044829681987,107.264,156.2899117409694,12.795141,192.79514,0.103163,0.054883,0.24598,0.461658,0.5328187,0.20142281,0.06540578,-0.09454423,-0.13481146,"[279376, 155792, 22687]",True,excitatory_neuron,L4b
59,9,3,8608,864691136091074615,1,1,848.512,629.056,951.28,161.1278139118135,101.376,190.3661361482131,9.178058624267578,189.1780548095703,0.22230200469493866,0.1764799952507019,0.39346200227737427,0.15039199590682983,2.6162428855895996,0.42518889904022217,0.4416636824607849,-0.06023204326629639,0.09415900707244873,"[212128, 157264, 23782]",False,excitatory_neuron,L4a
60,9,4,4755,864691135469753426,1,0,696.896,505.984,805.96,341.09408166076406,224.448,408.31614864954827,77.52175903320312,77.52175903320312,0.14891299605369568,0.08865559846162796,0.17982299625873566,0.5864449739456177,0.3066323399543762,0.2938610911369324,0.24569369852542877,-0.1717870831489563,-0.024065136909484863,"[174224, 126496, 20149]",False,excitatory_neuron,L3a
61,9,4,4757,864691135741655956,1,0,715.584,500.864,834.56,313.0716042313643,229.568,388.22067951102247,169.0407257080078,349.0407409667969,0.14531399309635162,0.11574099957942963,0.6730210185050964,0.7614439725875854,0.8838745951652527,0.2814030051231384,0.03878617659211159,-0.12482750415802002,-0.05480527877807617,"[178896, 125216, 20864]",False,excitatory_neuron,L3a
62,9,4,7905,864691137198382657,1,1,1053.824,465.856,874.72,81.15360408509285,264.576,276.74242036955593,77.30518341064453,77.30518341064453,0.2917329967021942,0.247312992811203,0.06278199702501297,0.06445439904928207,0.9740529656410217,0.5145330429077148,0.598564088344574,0.0245133638381958,-0.08759570121765137,"[263456, 116464, 21868]",False,excitatory_neuron,L2c
63,9,6,4206,864691135865401564,1,0,1189.824,486.08,654.12,340.2847681810045,244.352,418.929138828991,178.81784,178.81784,0.0434207,0.138305,0.574929,0.693503,0.82902163,0.18598005,0.47751683,-0.09221166,-0.022216022,"[297456, 121520, 16353]",True,excitatory_neuron,L3a
